DATA;Longitude;Latitude;TSRED;OPAD;WIATR;SOLAR
2001-04-28;20.9375;52.2983017;10.343;1.848793392;2.112653744;23.90658858
2001-04-29;20.9375;52.2983017;13.6565;0.099563616;2.093957029;18.80527968
2001-04-30;20.9375;52.2983017;17.968;0.024032578;3.848328835;24.80372071
2001-05-01;20.9375;52.2983017;20.1815;0.00686646;3.439713747;17.23663548
2001-05-02;20.9375;52.2983017;14.7725;1.275443712;3.182444721;25.30113941
2001-05-03;20.9375;52.2983017;13.033;0;3.034202605;25.97259341
2001-05-04;20.9375;52.2983017;17.695;0;3.791263484;25.81823646
2001-05-05;20.9375;52.2983017;19.12;0;2.725050932;25.30457039
2001-05-06;20.9375;52.2983017;17.897;9.13410216;2.528483024;23.45438981
2001-05-07;20.9375;52.2983017;18.5965;3.901005922;3.244362287;20.59143237
2001-05-08;20.9375;52.2983017;16.83;1.215362412;3.39443962;16.80041594
2001-05-09;20.9375;52.2983017;14.8735;0;2.910171429;25.10808829
2001-05-10;20.9375;52.2983017;17.042;0.094413816;3.421562742;19.09806174
2001-05-11;20.9375;52.2983017;12.669;0.216293306;4.345468585;24.56190612
2001-05-12;20.9375;52.2983017;10.707;0;3.407061028;17.73832752
2001-05-13;20.9375;52.2983017;10.999;0;2.374497294;27.21459501
2001-05-14;20.9375;52.2983017;15.6645;0.003433226;3.082627766;25.65146196
2001-05-15;20.9375;52.2983017;17.6395;0;3.240337607;26.94706686
2001-05-16;20.9375;52.2983017;16.8825;6.66046404;2.322482926;24.82206064
2001-05-17;20.9375;52.2983017;19.878;0.14762898;3.19738787;26.37214308
2001-05-18;20.9375;52.2983017;18.2685;12.90549014;2.821373271;13.82686569
2001-05-19;20.9375;52.2983017;12.4;1.685715113;4.760064595;19.15031279
2001-05-20;20.9375;52.2983017;11.401;0.006866453;3.727397063;26.06760506
2001-05-21;20.9375;52.2983017;10.428;0.099563587;3.43477637;13.36336504
2001-05-22;20.9375;52.2983017;8.2905;0;2.295061122;27.68647574
2001-05-23;20.9375;52.2983017;10.223;0;1.600472528;28.86008058
2001-05-24;20.9375;52.2983017;15.94;0;2.947422835;28.50592529
2001-05-25;20.9375;52.2983017;13.605;0;3.272637649;28.63687599
2001-05-26;20.9375;52.2983017;9.793;0;1.910435898;29.23588138
2001-05-27;20.9375;52.2983017;15.2595;0;3.288083162;17.63122248
2001-05-28;20.9375;52.2983017;13.5165;10.86444533;3.368067845;3.30350787
2001-05-29;20.9375;52.2983017;15.213;1.83162726;5.012903839;13.3785018
2001-05-30;20.9375;52.2983017;10.817;14.73884676;5.105072662;5.024417454
2001-05-31;20.9375;52.2983017;10.3565;0.719261215;2.119050091;17.01455755
2001-06-01;20.9375;52.2983017;11.2655;0.777626388;2.524105863;27.93571938
2001-06-02;20.9375;52.2983017;13.0875;1.392173496;3.170975583;12.06955991
2001-06-03;20.9375;52.2983017;11.112;0.818825004;3.806645184;8.569580148
2001-06-04;20.9375;52.2983017;11.2425;0;2.829654581;20.34062201
2001-06-05;20.9375;52.2983017;12.6305;0.037765505;3.210659273;25.81740158
2001-06-06;20.9375;52.2983017;12.388;0.262641996;1.664735445;15.04153282
2001-06-07;20.9375;52.2983017;15.14;0;1.434649373;26.00353249
2001-06-08;20.9375;52.2983017;16.068;3.9276126;1.739555942;20.28757277
2001-06-09;20.9375;52.2983017;14.667;5.824469556;2.276660643;16.93327995
2001-06-10;20.9375;52.2983017;13.143;0.18367758;2.485125279;16.90375025
2001-06-11;20.9375;52.2983017;11.7325;4.171371156;2.862663366;4.726517562
2001-06-12;20.9375;52.2983017;12.3;4.473493416;4.187610987;12.76492637
2001-06-13;20.9375;52.2983017;12.392;0.758743258;2.95929815;25.51793274
2001-06-14;20.9375;52.2983017;13.026;0;1.494072067;29.12906192
2001-06-15;20.9375;52.2983017;16.024;0;1.282026952;21.07221023
2001-06-16;20.9375;52.2983017;19.1995;0.7003782;2.387030488;20.30006545
2001-06-17;20.9375;52.2983017;17.115;8.819961516;1.588468347;9.808651782
2001-06-18;20.9375;52.2983017;18.2065;0.972461916;2.665646897;23.27973815
2001-06-19;20.9375;52.2983017;15.45;0.796509194;2.862451808;14.57611805
2001-06-20;20.9375;52.2983017;17.254;0.034332278;3.026290289;24.78093761
2001-06-21;20.9375;52.2983017;17.4775;0.092697134;2.320358649;28.10784323
2001-06-22;20.9375;52.2983017;14.0625;2.604104417;3.054131398;22.87259316
2001-06-23;20.9375;52.2983017;12.223;8.102417256;3.988465247;5.951699388
2001-06-24;20.9375;52.2983017;17.015;5.85022356;4.143297813;7.511342742
2001-06-25;20.9375;52.2983017;18.465;0.01373292;4.194597557;28.87019777
2001-06-26;20.9375;52.2983017;17.0105;3.22036763;3.333375624;27.69834805
2001-06-27;20.9375;52.2983017;17.99;0.006866453;2.433440966;28.72772017
2001-06-28;20.9375;52.2983017;19.656;0;1.564989811;29.59075915
2001-06-29;20.9375;52.2983017;20.158;0.242042731;2.369105246;21.81458358
2001-06-30;20.9375;52.2983017;20.8885;0.9956358;1.810299508;17.56771585
2001-07-01;20.9375;52.2983017;20.893;2.86502904;1.6133421;14.49500456
2001-07-02;20.9375;52.2983017;17.6445;3.845215973;3.737872989;12.66334229
2001-07-03;20.9375;52.2983017;16.7465;1.538085816;2.668636932;7.618555944
2001-07-04;20.9375;52.2983017;21.4995;0.506400818;2.278334696;20.14223087
2001-07-05;20.9375;52.2983017;23.0705;0.01373292;1.50034122;8.169133914
2001-07-06;20.9375;52.2983017;25.205;0;1.633324349;19.52865155
2001-07-07;20.9375;52.2983017;24.109;0;2.904669106;28.2943139
2001-07-08;20.9375;52.2983017;22.4175;0.260925192;3.241468109;20.23723296
2001-07-09;20.9375;52.2983017;18.836;5.04684288;3.729678415;15.9359623
2001-07-10;20.9375;52.2983017;17.6005;8.00285562;3.593145508;9.867827088
2001-07-11;20.9375;52.2983017;20.999;2.90451204;3.207087225;15.84939881
2001-07-12;20.9375;52.2983017;18.767;1.15013088;2.783666812;23.74818881
2001-07-13;20.9375;52.2983017;20.057;1.194762204;2.948731181;15.83212995
2001-07-14;20.9375;52.2983017;22.784;0.24719256;2.022214176;19.07876023
2001-07-15;20.9375;52.2983017;27.6945;0;3.342668546;23.30476441
2001-07-16;20.9375;52.2983017;28.5355;0.556183224;3.466820034;24.45418048
2001-07-17;20.9375;52.2983017;23.018;0.805091753;1.513398886;16.02764543
2001-07-18;20.9375;52.2983017;17.347;0.73127736;3.552972981;9.41242302
2001-07-19;20.9375;52.2983017;18.965;0.01373292;2.247136514;27.10339173
2001-07-20;20.9375;52.2983017;24.592;0.295257499;2.860976122;21.66930049
2001-07-21;20.9375;52.2983017;20.1505;0.312423754;2.006118697;20.32863804
2001-07-22;20.9375;52.2983017;20.4065;11.6558046;3.931900083;22.3899172
2001-07-23;20.9375;52.2983017;23.749;4.686352848;4.603844318;24.34297266
2001-07-24;20.9375;52.2983017;22.166;28.91979935;3.073992346;8.082732258
2001-07-25;20.9375;52.2983017;23.3395;3.098486786;2.217295492;16.39496619
2001-07-26;20.9375;52.2983017;22.7085;8.90579448;2.641745858;21.91944409
2001-07-27;20.9375;52.2983017;19.8865;10.93140043;3.247869979;12.32325081
2001-07-28;20.9375;52.2983017;21.6565;0.333022932;3.312372068;22.38953069
2001-07-29;20.9375;52.2983017;23.0475;0;1.802059995;25.43198198
2001-07-30;20.9375;52.2983017;22.622;0;2.380751188;25.74602064
2001-07-31;20.9375;52.2983017;21.747;0.01373292;3.202833802;13.38485551
2001-08-01;20.9375;52.2983017;18.5065;0.683212385;3.103579658;22.2686451
2001-08-02;20.9375;52.2983017;16.865;0;2.082063429;21.15546077
2001-08-03;20.9375;52.2983017;20.2335;0;3.39317496;25.42280803
2001-08-04;20.9375;52.2983017;23.1855;9.195041484;2.744117796;17.98250994
2001-08-05;20.9375;52.2983017;16.8215;6.291389822;2.387296741;7.16546655
2001-08-06;20.9375;52.2983017;18.118;0.40683744;3.041878349;25.17058546
2001-08-07;20.9375;52.2983017;20.2765;3.0607272;3.167134513;12.65760155
2001-08-08;20.9375;52.2983017;21.1325;0.082397448;2.479565776;17.90752255
2001-08-09;20.9375;52.2983017;22.7965;0.102996835;2.318057684;9.29396502
2001-08-10;20.9375;52.2983017;18.3;12.03174811;2.475831287;5.10395832
2001-08-11;20.9375;52.2983017;16.5565;0.017166146;2.745769131;14.49101457
2001-08-12;20.9375;52.2983017;15.193;0;2.286480937;24.30674926
2001-08-13;20.9375;52.2983017;19.181;0.551032812;3.374585232;16.28606516
2001-08-14;20.9375;52.2983017;19.2155;0.357055913;2.255900642;8.98233237
2001-08-15;20.9375;52.2983017;23.214;0;1.818408938;22.97244366
2001-08-16;20.9375;52.2983017;24.5155;0;2.852890815;23.35933116
2001-08-17;20.9375;52.2983017;25.46;0;2.45196296;22.81770389
2001-08-18;20.9375;52.2983017;24.9745;1.72176336;1.336967168;17.25148188
2001-08-19;20.9375;52.2983017;26.6905;0;2.235589051;22.5950643
2001-08-20;20.9375;52.2983017;25.3245;0;1.980026082;19.07414874
2001-08-21;20.9375;52.2983017;25.3885;0;1.804262199;19.34888013
2001-08-22;20.9375;52.2983017;25.714;0.003433226;1.579860174;21.7216197
2001-08-23;20.9375;52.2983017;20.347;0;2.802068458;22.34148957
2001-08-24;20.9375;52.2983017;19.285;0;1.72401207;22.35290976
2001-08-25;20.9375;52.2983017;19.931;0;1.333682101;15.71860989
2001-08-26;20.9375;52.2983017;21.2825;0;1.300555179;21.50550486
2001-08-27;20.9375;52.2983017;22.0705;7.1514126;3.62764782;20.93399802
2001-08-28;20.9375;52.2983017;13.49;4.345610378;5.04971618;4.861521198
2001-08-29;20.9375;52.2983017;14.8065;6.782345496;3.658674567;11.00497048
2001-08-30;20.9375;52.2983017;15.735;0;1.586906565;21.15382455
2001-08-31;20.9375;52.2983017;15.772;0;2.673940992;21.10016491
2001-09-01;20.9375;52.2983017;16.8815;1.912308912;2.266976781;7.575302592
2001-09-02;20.9375;52.2983017;13.986;5.009073912;2.84681146;4.34998296
2001-09-03;20.9375;52.2983017;13.6305;1.199911824;2.447095506;7.088116608
2001-09-04;20.9375;52.2983017;18.8075;0.127029449;2.864452189;15.51476419
2001-09-05;20.9375;52.2983017;16.5205;8.3745072;2.123455779;10.78328959
2001-09-06;20.9375;52.2983017;17.341;1.378440914;3.30306637;13.05590803
2001-09-07;20.9375;52.2983017;14.8615;0.805950374;3.033477869;12.53126419
2001-09-08;20.9375;52.2983017;11.2145;4.519842926;3.999075521;4.344240852
2001-09-09;20.9375;52.2983017;10.748;0.411987485;5.33261868;4.774782888
2001-09-10;20.9375;52.2983017;9.725;17.1704286;6.713896176;1.8946125
2001-09-11;20.9375;52.2983017;12.3455;1.138114591;3.375667279;4.145063292
2001-09-12;20.9375;52.2983017;11.141;5.264855856;3.83720038;4.19271003
2001-09-13;20.9375;52.2983017;13.783;1.310634662;3.846339995;12.19662475
2001-09-14;20.9375;52.2983017;16.804;1.708031095;3.362496881;11.12298905
2001-09-15;20.9375;52.2983017;14.838;3.429795146;1.656830559;9.14569245
2001-09-16;20.9375;52.2983017;14.222;11.08760453;2.559566853;6.000021864
2001-09-17;20.9375;52.2983017;12.7615;0.763893086;2.208337303;5.949618192
2001-09-18;20.9375;52.2983017;12.613;23.13480456;3.486898018;2.28999438
2001-09-19;20.9375;52.2983017;12.4105;3.115655482;2.217981104;12.0039147
2001-09-20;20.9375;52.2983017;12.523;0;2.85691403;15.83122457
2001-09-21;20.9375;52.2983017;15.2045;0.063514692;3.199148992;13.652379
2001-09-22;20.9375;52.2983017;14.211;1.938914964;2.17917975;11.77796052
2001-09-23;20.9375;52.2983017;13.2575;14.39209357;1.465120934;12.66199425
2001-09-24;20.9375;52.2983017;12.927;0;3.257007834;11.62895578
2001-09-25;20.9375;52.2983017;8.541;0.037765519;3.24340708;10.92453885
2001-09-26;20.9375;52.2983017;6.949;0;1.642513833;15.53855355
2001-09-27;20.9375;52.2983017;5.7725;0;1.535108831;15.04181151
2001-09-28;20.9375;52.2983017;5.702;13.01107118;2.533146691;3.93457221
2001-09-29;20.9375;52.2983017;9.173;0.003433226;1.713505136;11.9809125
2001-09-30;20.9375;52.2983017;11.4125;0.113296493;3.64699495;9.738564552
2001-10-01;20.9375;52.2983017;13.123;3.742221564;3.58240432;2.59835697
2001-10-02;20.9375;52.2983017;17.7595;6.06994848;4.938958851;12.60399328
2001-10-03;20.9375;52.2983017;20.4555;0;4.145467541;12.04740495
